source_id,relationship,target_id,confidence,evidence,review_status
TAG-0014,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0015,PART_OF,AREA-006,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0015,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0016,PART_OF,AREA-006,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0016,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0017,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0017,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0018,PART_OF,AREA-003,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0018,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0019,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0019,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0020,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0020,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0021,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0021,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0022,PART_OF,AREA-002,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0022,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0023,PART_OF,AREA-005,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0023,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
TAG-0024,PART_OF,AREA-004,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
TAG-0024,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0001,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0001,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0002,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0002,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0003,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0003,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0004,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0004,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0005,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0005,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0006,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0006,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0007,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0007,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0008,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0008,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0009,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0009,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0010,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0010,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0011,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0011,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0012,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0012,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0013,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0013,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0014,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0014,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0015,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0015,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0016,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0016,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0017,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0017,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0018,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0018,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0019,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0019,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0020,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0020,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0021,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0021,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0022,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0022,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0023,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0023,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0024,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0024,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0025,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0025,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0026,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0026,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0027,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0027,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0028,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0028,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0029,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0029,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
BLK-0030,PART_OF,AREA-009,1.0,X-coordinate sheet mapping,REVIEW_AREA_MAPPING
BLK-0030,SHOWN_ON,DRAWING-001,1.0,DXF source,AUTO_VERIFIED
